,GAME_DATE,DAY,max_temp,min_temp,avgtemp,Rain,Snow,Condition,Weather,Temp,Temp_Diff,Promotions/Events,,
0,4/2/24,Tue,41.9,36.5,39.9,100,0,Light rain,CLOUDY,52,12,0,,
1,4/3/24,Wed,37.1,32.2,34.8,0,100,Heavy snow,RAIN,37,2,Opening Day / Opening Day Photo Giveaway / Free Parking Tuesday / Taco & Tequila Tuesday,,
2,4/4/24,Thu,32.5,31.4,31.9,0,100,Heavy snow,SNOW,34,2,0,,
3,4/5/24,Fri,37.5,28.3,33,0,100,Moderate or heavy snow showers,CLOUDY,41,8,0,,
4,4/6/24,Sat,39.6,33.4,36.2,0,100,Moderate or heavy snow showers,OVERCAST,42,6,WooSox Tumbler Giveaway / Fireworks / Clinton Town Takeover,,
5,4/7/24,Sun,41.4,33.2,36.8,0,100,Light snow showers,CLOUDY,42,5,Meet the Team Party / Sports Memorabilia Day / Sunset Catch on the Field,,
6,4/16/24,Tue,58.4,41.4,49,0,0,Partly cloudy,PARTLY CLOUDY,64,15,Sunday Funday / Kids Run the Bases / Bark in the Park,,
7,4/17/24,Wed,60.1,36.9,48.4,0,0,Overcast,PARTLY CLOUDY,62,14,Taco & Tequila Tuesday / Free Parking Tuesday / School Vacation Week / Portuguese Heritage Night,,
8,4/18/24,Thu,44.4,40.2,42.6,100,0,Light drizzle,RAIN,41,2,Autograph Wednesday / First Responder Wednesday / Postgame Movie - Bull Durham / School Vacation Week,,
9,4/19/24,Fri,51.8,37.7,44.2,100,0,Patchy rain possible,CLEAR,56,12,Throwback Thursday - Jonny Gomes / School Vacation Week / Teacher Appreciation Day,,
10,4/20/24,Sat,57.9,40.8,48.8,100,0,Light drizzle,CLOUDY,60,11,Sparks Fly Fireworks / WooU Night / Flashback Friday - Denis Eckersley / School Vacation Week,,
11,4/21/24,Sun,52.6,34.4,43.2,45,0,Overcast,PARTLY CLOUDY,50,7,Women in Sports Day / Sunset Catch on the Field / Schoo Vacation Week,,
12,4/30/24,Tue,58.6,51.4,54.1,100,0,Patchy rain possible,COULDY,59,5,Autism Acceptance Day / Sunday Funday / Kids Run the Bases / School Vacation Week,,
13,5/1/24,Wed,55.8,44.9,49.3,100,0,Fog,COULDY,51,2,"Taco & Tequila Tuesday / Free Parking Tuesday / Wepas - South America (Venezuela, Colombia, Peru)",,
14,5/2/24,Thu,68.6,46.1,56,100,0,Fog,CLOUDY,72,16,School Day/ First Responder Wednesday/ Player Autograph,,
15,5/3/24,Fri,57.4,44.8,51.8,45,0,Patchy rain possible,PARTLY CLOUDY,60,8,Throwback Thursday - John Trautwein / Mental Health Awareness Night,,
16,5/4/24,Sat,61.2,42.6,50.9,45,0,Overcast,CLOUDY,62,11,Hollywood's Greatest Hits Fireworks / Deaf&HOH Awareness,,
17,5/5/24,Sun,48.5,43.1,45.8,100,0,Light rain shower,OVERCAST,50,4,May the Fourth Be With You - Star Wars Day / Boylston Town Takeover / Sunset Catch on the Field,,
18,5/14/24,Tue,72.6,49.4,59.7,100,0,Light rain shower,CLEAR,77,17,Wepas (Mexico & Spain) / Cinco de Mayo / Sunday Funday / Kids Run the Bases,,
19,5/15/24,Wed,65.4,56.3,60.4,100,0,Light rain shower,PARTLY CLOUDY,72,12,Free Parking Tuesday / BP Tuesday / Taco & Tequila Tuesday / Holden Town Takeover,,
20,5/16/24,Thu,57.3,53.7,55.7,100,0,Light drizzle,PARTLY CLOUDY,67,11,First Responder Wednesday / School Field Trip Day / Player Autugraph Wednesday,,
21,5/17/24,Fri,66.7,49.7,56.6,45,0,Patchy rain possible,PARTLY CLOUDY,68,11,Throwback Thursday / Nurses Appreciation Night,,
22,5/18/24,Sat,67.9,49.8,57.2,0,0,Overcast,RAIN,57,0,Classic Rock Fireworks / Natick Town Takeover,,
23,5/19/24,Sun,60.1,50.7,55.3,100,0,Patchy rain possible,COULDY,62,7,0,,
24,5/21/24,Tue,80.8,53.2,66.5,0,0,Mist,CLEAR,84,18,Breast Cancer Awareness Day / Sunday Funday / Kids Run the Bases,,
25,5/22/24,Wed,84.9,60.1,71.4,100,0,Partly cloudy,CLEAR,85,14,Wepas (Cuba) / Taco & Tequila Tuesday / Free Parking Tuesday / BP Tuesday,,
