,EVENT_USAGE_DATE,Singles_Attendance_Count,Singles_Sales_Count,Groups_Attendance_Count,Groups_Sales_Count,Packages_Attendance_Count,Packages_Sales_Count
0,2023-03-31,2880,4571,663,1183,1950,3258
1,2023-04-01,1792,5319,149,371,1008,3089
2,2023-04-02,2779,5703,333,801,1412,3035
3,2023-04-11,1104,3909,246,403,1116,2856
4,2023-04-12,1193,4025,234,342,1130,2967
5,2023-04-13,1957,4609,406,601,1482,3025
6,2023-04-14,4021,6371,861,1016,1851,2873
7,2023-04-15,3140,5769,546,798,1566,2836
8,2023-04-16,2472,5102,391,658,1347,2831
9,2023-04-25,746,3783,133,198,940,2941
10,2023-04-26,832,3786,162,273,861,3046
11,2023-04-27,918,3710,340,453,914,2945
12,2023-04-28,1968,2341,856,1178,1847,3274
13,2023-04-29,1270,1758,913,1490,822,2868
14,2023-04-30,770,1235,417,731,607,3012
15,2023-05-02,741,3548,375,609,562,2963
16,2023-05-03,435,3705,406,549,512,3124
17,2023-05-04,885,3584,479,692,725,3163
18,2023-05-05,1109,1380,670,894,1269,2991
19,2023-05-06,2744,3154,997,1309,1423,2671
20,2023-05-07,2475,2778,1183,1579,1424,2762
21,2023-05-16,990,1276,929,1344,1143,2855
22,2023-05-17,905,1245,1309,1613,731,2929
23,2023-05-18,1026,1262,1165,1628,1185,2853
24,2023-05-19,1920,2334,2386,3069,1901,3156
25,2023-05-20,253,1689,488,2547,157,2738
26,2023-05-21,2851,3223,1687,2021,1359,2740
27,2023-06-06,818,1098,907,1304,1133,3008
28,2023-06-07,1040,2152,2516,2973,803,2917
29,2023-06-08,754,1080,919,1285,1089,3063
30,2023-06-09,1475,1893,2652,3650,1365,2816
31,2023-06-10,2610,3048,2646,3391,1405,2670
32,2023-06-11,2307,2666,2523,3179,1559,2739
33,2023-06-20,1666,1944,945,1327,1557,3211
34,2023-06-21,2208,3330,1486,1896,1447,2947
35,2023-06-22,1573,1829,1449,1701,1346,2799
36,2023-06-23,2603,3074,2330,2844,1624,2741
37,2023-06-24,2051,2633,2153,3375,1155,2642
38,2023-06-25,2452,2860,1737,2379,1345,2717
39,2023-07-04,4489,5304,1450,1730,1852,3095
40,2023-07-05,1981,3038,325,485,1317,2968
41,2023-07-06,1825,2134,431,689,1351,2913
42,2023-07-07,3893,4495,1338,1791,1762,2728
43,2023-07-08,2856,3306,1813,2462,1390,2609
44,2023-07-09,2685,3134,1532,2127,1339,2642
45,2023-07-25,1054,2016,760,1416,634,2840
46,2023-07-26,2137,3370,2780,3461,1127,2609
47,2023-07-27,1554,2131,1292,1918,993,3108
48,2023-07-28,2952,3530,2423,3221,1745,2687
49,2023-07-29,1637,2233,1522,2521,1186,2597
50,2023-07-30,3652,4191,1640,2199,1448,2632
51,2023-08-08,1718,2022,960,1415,1295,3212
52,2023-08-09,1958,3032,1938,2467,1006,2712
53,2023-08-10,822,1529,925,1596,638,2744
54,2023-08-11,2924,3506,1664,2132,1624,2679
55,2023-08-12,3168,3792,1625,2059,1472,2628
56,2023-08-13,2721,3381,1646,2217,1355,2738
57,2023-08-15,1408,2239,1051,1556,1008,2766
58,2023-08-16,1766,3319,1700,2209,990,2759
59,2023-08-17,1989,2914,769,1195,1406,2880
60,2023-08-18,3180,3741,2212,3110,1597,2702
61,2023-08-19,3332,4057,1802,2639,1341,2594
62,2023-08-20,2732,3397,1752,2341,1420,2671
63,2023-08-29,1026,3261,852,1161,1195,3209
64,2023-08-30,1360,4820,980,1422,1059,2987
65,2023-08-31,1773,4050,1407,1813,1138,2762
66,2023-09-01,3786,5875,1434,1940,1554,2736
67,2023-09-02,4013,5671,1141,1759,1377,2644
68,2023-09-03,3410,5960,951,1322,1329,2820
69,2023-09-12,1074,4379,717,1194,906,2860
70,2023-09-13,708,9885,550,1360,545,3102
71,2023-09-14,1615,8585,1190,1885,1115,2928
72,2023-09-15,3029,6272,1828,2581,1845,3169
73,2023-09-16,2740,5902,1794,2793,1349,2657
74,2023-09-17,3484,8653,1640,2885,1401,2721
