,EVENT_DATE,Attendance_Count,Sales_Count,AttendancePercentage,DAY,max_temp,min_temp,avgtemp,Rain,Snow,Weather,Temp,Temp_Diff,Promotions/Events,EVENT_USAGE_DATE,Sales_Singles_Count,Attendance_Singles_Count,Sales_Groups_Count,Attendance_Groups_Count,Sales_Packages_Count,Attendance_Packages_Count,Condition_Cloudy,Condition_Fog,Condition_Rain,Condition_Snow,Condition_Sunny,,,,,
0,4/2/24,3578,6421,0.56,Tue,41.9,36.5,39.9,100,0,CLOUDY,52,12,0,4/2/24,2750,1956,847,293,2824,1329,0,0,1,0,0,,,,KEY,
1,4/5/24,1617,4009,0.4,Fri,37.5,28.3,33,0,100,CLOUDY,41,8,0,4/5/24,590,485,686,359,2733,773,0,0,0,1,0,,,,Firework,4
2,4/6/24,1476,3680,0.4,Sat,39.6,33.4,36.2,0,100,OVERCAST,42,6,WooSox Tumbler Giveaway / Fireworks / Clinton Town Takeover,4/6/24,637,510,354,254,2689,712,0,0,0,1,0,,,,Player/Fan ,3
3,4/7/24,1957,3911,0.5,Sun,41.4,33.2,36.8,0,100,CLOUDY,42,5,Meet the Team Party / Sports Memorabilia Day / Sunset Catch on the Field,4/7/24,621,560,446,388,2844,1009,0,0,0,1,0,,,,Town Takeover,2
4,4/16/24,2436,3919,0.62,Tue,58.4,41.4,49,0,0,PARTLY CLOUDY,64,15,Sunday Funday / Kids Run the Bases / Bark in the Park,4/16/24,1160,1079,135,84,2624,1273,1,0,0,0,0,,,,Event,1
5,4/17/24,2350,3969,0.59,Wed,60.1,36.9,48.4,0,0,PARTLY CLOUDY,62,14,Taco & Tequila Tuesday / Free Parking Tuesday / School Vacation Week / Portuguese Heritage Night,4/17/24,1326,1223,32,12,2611,1115,1,0,0,0,0,,,,,
6,4/18/24,910,3103,0.29,Thu,44.4,40.2,42.6,100,0,RAIN,41,2,Autograph Wednesday / First Responder Wednesday / Postgame Movie - Bull Durham / School Vacation Week,4/18/24,646,448,100,67,2357,395,0,0,1,0,0,,,,,
7,4/19/24,4971,6464,0.77,Fri,51.8,37.7,44.2,100,0,CLEAR,56,12,Throwback Thursday - Jonny Gomes / School Vacation Week / Teacher Appreciation Day,4/19/24,2473,2304,1129,950,2862,1717,0,0,1,0,0,,,,,
8,4/20/24,3410,4826,0.71,Sat,57.9,40.8,48.8,100,0,CLOUDY,60,11,Sparks Fly Fireworks / WooU Night / Flashback Friday - Denis Eckersley / School Vacation Week,4/20/24,1835,1703,582,460,2409,1247,0,0,1,0,0,,,,,
9,4/21/24,3244,4922,0.66,Sun,52.6,34.4,43.2,45,0,PARTLY CLOUDY,50,7,Women in Sports Day / Sunset Catch on the Field / Schoo Vacation Week,4/21/24,1532,1381,631,481,2759,1382,1,0,0,0,0,,,,,
